Order,Family,Genus,Species,Binomial,ActivityCycle,AdultBodyMass,GestationLen,HomeRange,DietBreadth,LitterSize,LittersPerYear,MaxLongevity,HabitatBreadth,NeonateBodyMass,PopulationDensity,Terrestriality,TrophicLevel
Rodentia,Cricetidae,Oecomys,cleberi,Oecomys cleberi,NA,73.4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
Rodentia,Heteromyidae,Dipodomys,panamintinus,Dipodomys panamintinus,nocturnal,73.67,29.44,0.003884943,NA,3.78,NA,NA,NA,4.5,NA,ground dwelling,NA
Rodentia,Muridae,Gerbilliscus,leucogaster,Gerbilliscus leucogaster,NA,73.75,28.37,NA,1,4.5,NA,NA,2,2.79,165.34,NA,NA
Rodentia,Heteromyidae,Heteromys,desmarestianus,Heteromys desmarestianus,nocturnal,74,27.86,0.001025001,NA,3.06,3.25,NA,NA,3,656.45,ground dwelling,herbivore
Chiroptera,Pteropodidae,Rousettus,amplexicaudatus,Rousettus amplexicaudatus,NA,74.37,101.38,NA,NA,0.99,2,NA,2,12,NA,above ground,herbivore
Rodentia,Sciuridae,Tamias,merriami,Tamias merriami,diurnal,74.77,33.37,NA,NA,4.5,NA,NA,NA,NA,NA,NA,omnivore
Rodentia,Heteromyidae,Heteromys,oresterus,Heteromys oresterus,NA,74.8,NA,NA,NA,3.41,NA,NA,2,NA,NA,ground dwelling,herbivore
Rodentia,Sciuridae,Sundasciurus,tenuis,Sundasciurus tenuis,NA,74.87,NA,NA,NA,3.11,NA,NA,NA,NA,141.72,above ground,omnivore
Rodentia,Cricetidae,Prometheomys,schaposchnikowi,Prometheomys schaposchnikowi,NA,75,NA,NA,NA,3.4,2,NA,NA,NA,NA,NA,NA
Rodentia,Sciuridae,Tamias,siskiyou,Tamias siskiyou,NA,75,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA
Rodentia,Sciuridae,Tamias,sonomae,Tamias sonomae,NA,75,NA,NA,NA,4,1,NA,1,NA,NA,above ground,herbivore
Rodentia,Muridae,Thamnomys,kempi,Thamnomys kempi,NA,75,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA
Rodentia,Bathyergidae,Cryptomys,hottentotus,Cryptomys hottentotus,both,75.13,84.99,0.001455832,NA,2.48,2,NA,NA,8.24,816.08,ground dwelling,herbivore
Rodentia,Cricetidae,Euneomys,chinchilloides,Euneomys chinchilloides,NA,75.57,NA,NA,2,NA,NA,NA,1,NA,NA,ground dwelling,NA
Rodentia,Cricetidae,Zygodontomys,brunneus,Zygodontomys brunneus,NA,75.59,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA
Dasyuromorphia,Dasyuridae,Antechinus,godmani,Antechinus godmani,both,75.74,NA,NA,2,4.58,1,NA,1,NA,5.3,ground dwelling,NA
Rodentia,Nesomyidae,Beamys,hindei,Beamys hindei,NA,75.8,22.79,NA,2,3.49,5,NA,1,3.2,NA,NA,NA
Rodentia,Cricetidae,Thomasomys,vestitus,Thomasomys vestitus,NA,76.5,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
Afrosoricida,Tenrecidae,Limnogale,mergulus,Limnogale mergulus,nocturnal,76.86,NA,NA,NA,2.73,1,NA,2,NA,NA,ground dwelling,carnivore
Rodentia,Cricetidae,Thomasomys,baeops,Thomasomys baeops,NA,77,NA,NA,2,NA,NA,NA,3,NA,NA,NA,NA
Rodentia,Cricetidae,Thomasomys,daphne,Thomasomys daphne,NA,77,NA,NA,2,NA,NA,NA,3,NA,NA,NA,NA
Rodentia,Cricetidae,Thomasomys,hylophilus,Thomasomys hylophilus,NA,77,NA,NA,1,NA,NA,NA,1,NA,NA,ground dwelling,NA
Rodentia,Cricetidae,Thomasomys,incanus,Thomasomys incanus,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rodentia,Cricetidae,Thomasomys,ischyrus,Thomasomys ischyrus,NA,77,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
Rodentia,Cricetidae,Thomasomys,kalinowskii,Thomasomys kalinowskii,NA,77,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
Rodentia,Cricetidae,Thomasomys,ladewi,Thomasomys ladewi,NA,77,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA
Rodentia,Cricetidae,Thomasomys,notatus,Thomasomys notatus,NA,77,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA
Rodentia,Cricetidae,Thomasomys,oreas,Thomasomys oreas,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rodentia,Cricetidae,Thomasomys,paramorum,Thomasomys paramorum,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rodentia,Cricetidae,Thomasomys,pyrrhonotus,Thomasomys pyrrhonotus,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rodentia,Cricetidae,Thomasomys,rhoadsi,Thomasomys rhoadsi,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rodentia,Cricetidae,Thomasomys,rosalinda,Thomasomys rosalinda,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rodentia,Cricetidae,Thomasomys,silvestris,Thomasomys silvestris,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rodentia,Cricetidae,Thomasomys,taczanowskii,Thomasomys taczanowskii,NA,77,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
Rodentia,Muridae,Thallomys,paedulcus,Thallomys paedulcus,NA,77.7,26.34,NA,1,3.2,NA,42,2,2.65,34,NA,NA
Primates,Cheirogaleidae,Allocebus,trichotis,Allocebus trichotis,both,78.09,NA,NA,NA,1,1,NA,1,NA,NA,above ground,omnivore
Chiroptera,Phyllostomidae,Chrotopterus,auritus,Chrotopterus auritus,NA,78.26,86.09,NA,NA,0.99,1,NA,1,NA,NA,above ground,omnivore
Didelphimorphia,Didelphidae,Lestodelphys,halli,Lestodelphys halli,nocturnal,78.27,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,omnivore
Chiroptera,Pteropodidae,Eonycteris,robusta,Eonycteris robusta,NA,78.36,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA
Chiroptera,Pteropodidae,Nyctimene,malaitensis,Nyctimene malaitensis,NA,78.39,NA,NA,NA,NA,NA,NA,1,NA,NA,above ground,NA
Carnivora,Mustelidae,Mustela,nivalis,Mustela nivalis,both,78.45,36.49,0.07,NA,5.07,1,120,1,2,12.89,ground dwelling,carnivore
Rodentia,Cricetidae,Dicrostonyx,torquatus,Dicrostonyx torquatus,NA,78.77,17.08,NA,1,3.85,2,45.6,1,3.05,NA,NA,NA
Rodentia,Muridae,Protochromys,fellowsi,Protochromys fellowsi,NA,78.99,NA,NA,1,2.68,NA,NA,1,NA,NA,NA,herbivore
Rodentia,Sciuridae,Tamias,townsendii,Tamias townsendii,diurnal,79.12,28,0.0072278,NA,3.75,1,84,1,3.52,260,above ground,omnivore
Chiroptera,Pteropodidae,Ptenochirus,jagori,Ptenochirus jagori,NA,79.18,125.14,NA,NA,1,2,96,1,17.4,NA,above ground,herbivore
Rodentia,Muridae,Pseudomys,gracilicaudatus,Pseudomys gracilicaudatus,NA,79.53,27,NA,NA,2.91,NA,NA,1,4.26,NA,NA,NA
Rodentia,Muridae,Niviventer,rapit,Niviventer rapit,NA,79.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rodentia,Cricetidae,Reithrodon,auritus,Reithrodon auritus,both,79.73,NA,NA,1,3.4,NA,66,NA,NA,61.11,ground dwelling,herbivore
Rodentia,Cricetidae,Oryzomys,xanthaeolus,Oryzomys xanthaeolus,NA,79.79,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA
Rodentia,Cricetidae,Ellobius,fuscocapillus,Ellobius fuscocapillus,NA,80,NA,NA,1,3.46,NA,NA,3,NA,NA,NA,herbivore
Rodentia,Cricetidae,Nelsonia,neotomodon,Nelsonia neotomodon,NA,80,NA,NA,4,NA,NA,NA,2,NA,NA,NA,NA
Rodentia,Muridae,Paramelomys,moncktoni,Paramelomys moncktoni,NA,80.56,NA,NA,NA,2.15,NA,NA,NA,NA,NA,NA,herbivore
Rodentia,Muridae,Niviventer,coninga,Niviventer coninga,NA,80.65,NA,NA,1,2.37,NA,NA,1,NA,NA,NA,NA
Rodentia,Muridae,Aethomys,chrysophilus,Aethomys chrysophilus,NA,80.85,26.17,NA,NA,3.09,NA,NA,NA,4.43,66.18,NA,NA
Rodentia,Geomyidae,Thomomys,monticola,Thomomys monticola,NA,80.99,NA,5.74E-05,NA,3.49,1,60,NA,NA,2814,ground dwelling,herbivore
Chiroptera,Pteropodidae,Dyacopterus,spadiceus,Dyacopterus spadiceus,NA,81.1,NA,NA,2,NA,NA,NA,1,NA,NA,above ground,NA
Rodentia,Muridae,Niviventer,culturatus,Niviventer culturatus,NA,81.17,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA
Rodentia,Cricetidae,Oxymycterus,delator,Oxymycterus delator,NA,81.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rodentia,Heteromyidae,Dipodomys,venustus,Dipodomys venustus,NA,81.52,NA,NA,NA,1.73,1.5,NA,NA,NA,NA,ground dwelling,herbivore
Rodentia,Muridae,Niviventer,fulvescens,Niviventer fulvescens,NA,81.79,NA,NA,NA,4.41,NA,NA,NA,NA,NA,NA,NA
Rodentia,Cricetidae,Euneomys,mordax,Euneomys mordax,NA,81.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,ground dwelling,NA
Rodentia,Muridae,Paramelomys,levipes,Paramelomys levipes,NA,82.81,NA,NA,NA,1.52,NA,NA,NA,NA,NA,NA,herbivore
Rodentia,Cricetidae,Euneomys,petersoni,Euneomys petersoni,NA,83,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
Rodentia,Muridae,Leptomys,elegans,Leptomys elegans,NA,83.52,NA,NA,NA,1.88,NA,NA,1,NA,NA,above ground,carnivore
Cingulata,Dasypodidae,Chlamyphorus,truncatus,Chlamyphorus truncatus,both,83.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,ground dwelling,omnivore
Rodentia,Sciuridae,Tamias,quadrimaculatus,Tamias quadrimaculatus,diurnal,83.62,31.65,0.005589918,NA,5.93,1,NA,NA,NA,52,above ground,omnivore
Rodentia,Cricetidae,Oxymycterus,roberti,Oxymycterus roberti,NA,83.71,NA,NA,NA,NA,NA,NA,NA,NA,266.61,NA,carnivore
Rodentia,Heteromyidae,Dipodomys,gravipes,Dipodomys gravipes,nocturnal,83.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,ground dwelling,NA
Rodentia,Muridae,Tokudaia,osimensis,Tokudaia osimensis,NA,84.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rodentia,Cricetidae,Ichthyomys,stolzmanni,Ichthyomys stolzmanni,nocturnal,84.7,NA,NA,3,NA,NA,NA,1,NA,NA,ground dwelling,carnivore
Rodentia,Cricetidae,Punomys,lemminus,Punomys lemminus,diurnal,84.8,NA,NA,NA,1.94,NA,NA,NA,NA,NA,ground dwelling,NA
Chiroptera,Pteropodidae,Rousettus,leschenaultii,Rousettus leschenaultii,NA,84.88,121.66,NA,NA,1.01,2,NA,NA,12,NA,above ground,omnivore
Rodentia,Heteromyidae,Dipodomys,californicus,Dipodomys californicus,NA,84.95,NA,NA,NA,2.6,2,NA,1,NA,NA,NA,herbivore
Rodentia,Sciuridae,Sundasciurus,lowii,Sundasciurus lowii,diurnal,84.99,NA,NA,NA,2.46,NA,NA,NA,NA,NA,above ground,omnivore
Rodentia,Sciuridae,Tamias,durangae,Tamias durangae,NA,84.99,NA,NA,NA,2.38,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Nyctimene,aello,Nyctimene aello,NA,85.26,NA,NA,NA,0.98,NA,NA,NA,NA,NA,above ground,NA
Rodentia,Cricetidae,Microtus,richardsoni,Microtus richardsoni,NA,85.5,22.29,0.000285368,8,5.93,2,18,1,5.48,620,ground dwelling,herbivore
Rodentia,Muridae,Oenomys,ornatus,Oenomys ornatus,NA,85.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
Rodentia,Muridae,Paramelomys,platyops,Paramelomys platyops,NA,85.6,NA,NA,1,1.94,NA,NA,1,NA,NA,ground dwelling,herbivore
Rodentia,Muridae,Stenocephalemys,griseicauda,Stenocephalemys griseicauda,NA,85.75,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA
Chiroptera,Pteropodidae,Dobsonia,minor,Dobsonia minor,NA,85.95,NA,NA,1,0.99,2,NA,1,NA,NA,above ground,herbivore
Rodentia,Muridae,Melomys,bougainville,Melomys bougainville,NA,85.99,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
Rodentia,Octodontidae,Tympanoctomys,barrerae,Tympanoctomys barrerae,nocturnal,86.02,NA,NA,1,NA,NA,NA,2,4,NA,ground dwelling,herbivore
Rodentia,Nesomyidae,Mystromys,albicaudatus,Mystromys albicaudatus,NA,86.85,37,NA,1,3,NA,72,1,6.5,NA,NA,NA
Rodentia,Cricetidae,Ototylomys,phyllotis,Ototylomys phyllotis,nocturnal,86.94,52.74,NA,2,2.2,NA,NA,3,10.19,NA,above ground,herbivore
Soricomorpha,Talpidae,Scalopus,aquaticus,Scalopus aquaticus,both,87.15,41.99,0.005706842,1,3.89,1,74.4,1,5.35,950,ground dwelling,omnivore
Rodentia,Sciuridae,Microsciurus,alfari,Microsciurus alfari,diurnal,87.49,NA,NA,1,NA,NA,NA,1,NA,NA,above ground,NA
Soricomorpha,Talpidae,Talpa,europaea,Talpa europaea,both,87.53,30.41,0.002281811,NA,3.89,1,84,1,3.24,925.63,ground dwelling,carnivore
Soricomorpha,Soricidae,Crocidura,goliath,Crocidura goliath,NA,87.92,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA
Rodentia,Heteromyidae,Dipodomys,nelsoni,Dipodomys nelsoni,nocturnal,87.93,NA,NA,1,1.94,NA,NA,1,NA,373.61,ground dwelling,herbivore
Rodentia,Cricetidae,Thomasomys,aureus,Thomasomys aureus,NA,87.99,NA,NA,NA,NA,NA,NA,1,NA,NA,above ground,herbivore
Rodentia,Muridae,Maxomys,bartelsii,Maxomys bartelsii,NA,88.46,NA,NA,6,NA,NA,NA,1,NA,NA,NA,NA
Rodentia,Dipodidae,Dipus,sagitta,Dipus sagitta,NA,89,27.5,NA,NA,3.49,2,NA,1,NA,NA,NA,omnivore
Rodentia,Cricetidae,Phyllotis,definitus,Phyllotis definitus,NA,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rodentia,Cricetidae,Rhipidomys,nitela,Rhipidomys nitela,nocturnal,89,NA,NA,6,NA,NA,NA,3,NA,NA,above ground,NA
Rodentia,Cricetidae,Rhipidomys,wetzeli,Rhipidomys wetzeli,nocturnal,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,above ground,NA
Rodentia,Cricetidae,Rhipidomys,ochrogaster,Rhipidomys ochrogaster,nocturnal,89,NA,NA,6,NA,NA,NA,NA,NA,NA,above ground,NA
Rodentia,Cricetidae,Rhipidomys,venustus,Rhipidomys venustus,nocturnal,89,NA,NA,5,NA,NA,NA,2,NA,NA,above ground,NA
Rodentia,Cricetidae,Rhipidomys,austrinus,Rhipidomys austrinus,nocturnal,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,above ground,NA
Rodentia,Cricetidae,Rhipidomys,fulviventer,Rhipidomys fulviventer,nocturnal,89,NA,NA,4,NA,NA,NA,NA,NA,NA,above ground,NA
Rodentia,Sciuridae,Tamias,senex,Tamias senex,diurnal,89.35,NA,0.01,NA,4.37,NA,NA,NA,NA,NA,above ground,omnivore
Rodentia,Muridae,Gerbilliscus,brantsii,Gerbilliscus brantsii,NA,89.41,22.64,0.000541371,NA,2.74,4,NA,1,5.49,NA,NA,NA
Rodentia,Muridae,Oenomys,hypoxanthus,Oenomys hypoxanthus,nocturnal,89.84,NA,NA,NA,2.81,NA,NA,NA,NA,3737.96,above ground,NA
Rodentia,Cricetidae,Delomys,sublineatus,Delomys sublineatus,diurnal,89.99,NA,NA,NA,NA,NA,NA,1,NA,NA,ground dwelling,NA
Rodentia,Muridae,Desmomys,harringtoni,Desmomys harringtoni,NA,89.99,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
Rodentia,Nesomyidae,Eliurus,tanala,Eliurus tanala,NA,89.99,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA
Chiroptera,Hipposideridae,Hipposideros,commersoni,Hipposideros commersoni,nocturnal,89.99,150.34,NA,NA,0.99,1,NA,1,28,NA,above ground,carnivore
Rodentia,Muridae,Maxomys,inas,Maxomys inas,NA,89.99,NA,NA,NA,2.91,NA,NA,NA,NA,NA,NA,NA
Rodentia,Cricetidae,Rhipidomys,venezuelae,Rhipidomys venezuelae,nocturnal,89.99,NA,NA,4,NA,NA,NA,1,NA,NA,above ground,NA
Rodentia,Muridae,Aethomys,kaiseri,Aethomys kaiseri,NA,89.99,27,NA,4,3,NA,NA,1,6.09,NA,NA,NA
Rodentia,Muridae,Paramelomys,mollis,Paramelomys mollis,NA,90.05,NA,NA,NA,1.69,NA,NA,NA,NA,NA,ground dwelling,herbivore
Rodentia,Muridae,Meriones,shawi,Meriones shawi,NA,90.6,24.8,NA,1,5.84,NA,NA,2,4.35,NA,NA,NA
Diprotodontia,Petauridae,Petaurus,biacensis,Petaurus biacensis,NA,90.98,NA,NA,NA,1.45,NA,NA,NA,NA,NA,above ground,omnivore
Rodentia,Muridae,Meriones,libycus,Meriones libycus,NA,91.33,25.43,NA,NA,4.54,NA,NA,NA,5.24,NA,NA,NA
Chiroptera,Phyllostomidae,Phyllostomus,hastatus,Phyllostomus hastatus,NA,91.44,123.39,NA,1,0.99,1,120,1,15.94,NA,above ground,omnivore
Soricomorpha,Soricidae,Scutisorex,somereni,Scutisorex somereni,NA,91.49,NA,NA,NA,1.85,NA,NA,1,NA,NA,NA,NA
Rodentia,Sciuridae,Tamias,ochrogenys,Tamias ochrogenys,NA,91.69,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,omnivore
Rodentia,Ctenomyidae,Ctenomys,minutus,Ctenomys minutus,NA,92,NA,NA,NA,NA,NA,NA,1,NA,NA,ground dwelling,herbivore
Rodentia,Sciuridae,Microsciurus,flaviventer,Microsciurus flaviventer,diurnal,92,NA,NA,1,NA,NA,NA,1,NA,NA,above ground,carnivore
Rodentia,Muridae,Gerbilliscus,afra,Gerbilliscus afra,NA,92.13,23.3,NA,NA,3.92,6.5,NA,1,4.5,NA,NA,NA
Rodentia,Nesomyidae,Brachyuromys,ramirohitra,Brachyuromys ramirohitra,both,92.31,NA,NA,1,NA,NA,NA,1,NA,NA,ground dwelling,NA
Chiroptera,Pteropodidae,Rousettus,spinalatus,Rousettus spinalatus,NA,92.32,NA,NA,NA,1,NA,NA,1,NA,NA,above ground,NA
Soricomorpha,Talpidae,Talpa,romana,Talpa romana,both,92.5,NA,0.002738746,1,NA,NA,NA,1,NA,1157.05,ground dwelling,carnivore
Rodentia,Cricetidae,Microtus,xanthognathus,Microtus xanthognathus,NA,92.65,NA,0.001022511,NA,8.1,2,NA,1,3.49,1000,NA,herbivore
Didelphimorphia,Didelphidae,Micoureus,constantiae,Micoureus constantiae,nocturnal,92.69,NA,NA,1,8,NA,NA,1,NA,NA,above ground,NA
Rodentia,Geomyidae,Thomomys,mazama,Thomomys mazama,NA,93.07,NA,9.05E-05,1,3.79,NA,NA,1,NA,3578.84,ground dwelling,herbivore
Didelphimorphia,Didelphidae,Monodelphis,domestica,Monodelphis domestica,both,93.45,14.55,NA,NA,7.29,4,72,1,0.09,400,ground dwelling,carnivore
Rodentia,Nesomyidae,Brachyuromys,betsileoensis,Brachyuromys betsileoensis,both,93.58,NA,NA,1,NA,NA,NA,1,NA,NA,ground dwelling,NA
Chiroptera,Pteropodidae,Epomophorus,wahlbergi,Epomophorus wahlbergi,NA,93.59,156.43,NA,2,0.99,2,NA,1,NA,NA,above ground,herbivore
Rodentia,Cricetidae,Phaenomys,ferrugineus,Phaenomys ferrugineus,NA,93.8,NA,NA,NA,NA,NA,NA,1,NA,NA,above ground,NA
Rodentia,Bathyergidae,Cryptomys,bocagei,Cryptomys bocagei,NA,93.84,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
Rodentia,Muridae,Zyzomys,maini,Zyzomys maini,NA,93.99,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
Rodentia,Sciuridae,Tamias,sibiricus,Tamias sibiricus,NA,94.16,34.98,0.001508451,NA,5.01,1,NA,1,NA,NA,NA,NA
Rodentia,Muridae,Pseudomys,oralis,Pseudomys oralis,NA,95,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA
Rodentia,Muridae,Zyzomys,woodwardi,Zyzomys woodwardi,NA,95.02,NA,NA,1,2.23,NA,NA,1,NA,NA,NA,NA
Chiroptera,Pteropodidae,Epomophorus,crypturus,Epomophorus crypturus,NA,95.04,91.24,NA,1,0.99,1.5,NA,1,NA,NA,NA,herbivore
Rodentia,Muridae,Pogonomys,loriae,Pogonomys loriae,nocturnal,95.39,NA,NA,NA,2.68,NA,NA,1,NA,NA,above ground,herbivore
Rodentia,Muridae,Malacomys,longipes,Malacomys longipes,nocturnal,95.64,NA,NA,NA,2.91,NA,NA,1,NA,NA,ground dwelling,NA
Rodentia,Muridae,Arvicanthis,niloticus,Arvicanthis niloticus,diurnal,95.8,21.99,NA,NA,4.86,3.5,NA,1,4.25,7309.52,NA,NA
Rodentia,Muridae,Gerbilliscus,robustus,Gerbilliscus robustus,NA,95.99,NA,NA,NA,5.26,NA,NA,1,NA,NA,NA,NA
Rodentia,Octodontidae,Aconaemys,sagei,Aconaemys sagei,diurnal,96.49,NA,NA,NA,NA,NA,NA,1,NA,NA,ground dwelling,NA
Soricomorpha,Talpidae,Mogera,wogura,Mogera wogura,both,96.88,40,NA,NA,3.78,1,42,1,NA,4999.99,ground dwelling,omnivore
Rodentia,Muridae,Rattus,verecundus,Rattus verecundus,diurnal,97.02,23.72,0.001058952,NA,2.15,NA,NA,1,NA,NA,ground dwelling,omnivore
Rodentia,Cricetidae,Juscelinomys,candango,Juscelinomys candango,NA,97.29,NA,NA,NA,NA,NA,NA,1,NA,NA,ground dwelling,omnivore
Rodentia,Nesomyidae,Gymnuromys,roberti,Gymnuromys roberti,NA,97.5,NA,NA,NA,1.94,1,NA,1,NA,NA,NA,herbivore
Rodentia,Cricetidae,Mesocricetus,newtoni,Mesocricetus newtoni,NA,97.5,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA
Chiroptera,Molossidae,Molossus,pretiosus,Molossus pretiosus,NA,98,NA,NA,1,0.98,NA,NA,1,NA,NA,above ground,NA
Rodentia,Cricetidae,Mesocricetus,auratus,Mesocricetus auratus,nocturnal,98.6,15.49,NA,1,8.79,4,120,1,2.35,NA,ground dwelling,omnivore
Dasyuromorphia,Dasyuridae,Dasycercus,cristicauda,Dasycercus cristicauda,both,99.54,38.99,NA,NA,6.5,1,84,1,NA,NA,ground dwelling,carnivore
Rodentia,Sciuridae,Microsciurus,santanderensis,Microsciurus santanderensis,diurnal,99.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rodentia,Nesomyidae,Eliurus,majori,Eliurus majori,NA,100,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
Rodentia,Nesomyidae,Eliurus,penicillatus,Eliurus penicillatus,NA,100,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
Rodentia,Anomaluridae,Idiurus,zenkeri,Idiurus zenkeri,NA,100,NA,NA,1,1,NA,NA,1,NA,NA,above ground,NA
Rodentia,Muridae,Melomys,rubicola,Melomys rubicola,NA,100,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA
Rodentia,Muridae,Niviventer,niviventer,Niviventer niviventer,NA,100,NA,NA,2,NA,NA,NA,1,3.75,NA,NA,NA
Rodentia,Sciuridae,Paraxerus,poensis,Paraxerus poensis,diurnal,100,55.13,NA,NA,1.5,NA,NA,1,9.9,NA,above ground,herbivore
Rodentia,Sciuridae,Tamias,bulleri,Tamias bulleri,NA,100,NA,NA,NA,2.43,NA,NA,1,NA,NA,ground dwelling,NA
Rodentia,Muridae,Zyzomys,pedunculatus,Zyzomys pedunculatus,NA,100,NA,NA,5,NA,NA,NA,2,NA,NA,NA,NA
Rodentia,Muridae,Rattus,nitidus,Rattus nitidus,NA,100.02,NA,NA,4,3.09,NA,NA,2,NA,NA,NA,NA
Rodentia,Gliridae,Eliomys,melanurus,Eliomys melanurus,NA,100.36,25,NA,6,4.99,NA,NA,1,NA,NA,NA,omnivore
Rodentia,Muridae,Otomys,angoniensis,Otomys angoniensis,both,100.64,NA,NA,6,2.86,NA,NA,2,NA,2630.74,ground dwelling,herbivore
Rodentia,Muridae,Gerbilliscus,kempi,Gerbilliscus kempi,NA,100.83,25.33,NA,6,4,NA,NA,1,NA,642.18,NA,NA
Rodentia,Octodontidae,Spalacopus,cyanus,Spalacopus cyanus,both,100.86,80.3,7.86E-05,1,3.14,NA,72,1,8.89,4500,ground dwelling,herbivore
Rodentia,Cricetidae,Graomys,domorum,Graomys domorum,NA,102,NA,NA,1,NA,NA,NA,1,NA,NA,ground dwelling,NA
Rodentia,Muridae,Psammomys,obesus,Psammomys obesus,diurnal,102.15,24.8,NA,3,3.49,NA,NA,1,6.2,69.97,NA,NA
Didelphimorphia,Didelphidae,Micoureus,demerarae,Micoureus demerarae,nocturnal,102.28,NA,NA,3,6.29,NA,NA,1,NA,26.38,above ground,carnivore
Rodentia,Sciuridae,Funambulus,pennantii,Funambulus pennantii,NA,102.49,41.77,0.001374507,4,2.95,2.5,NA,1,6.54,NA,NA,NA
Rodentia,Muridae,Gerbilliscus,guineae,Gerbilliscus guineae,NA,102.5,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA
Rodentia,Muridae,Myotomys,unisulcatus,Myotomys unisulcatus,NA,102.5,36.57,NA,NA,1.42,NA,NA,NA,12.3,NA,NA,herbivore
Afrosoricida,Tenrecidae,Hemicentetes,nigriceps,Hemicentetes nigriceps,both,102.99,55.32,NA,NA,2.84,2,31.2,NA,7.29,NA,NA,carnivore
Rodentia,Sciuridae,Ammospermophilus,leucurus,Ammospermophilus leucurus,diurnal,103.92,29.38,0.04,3,8,1.25,69.6,3,2.9,14.49,ground dwelling,omnivore
Rodentia,Muridae,Melomys,leucogaster,Melomys leucogaster,NA,104.17,NA,NA,NA,2.15,NA,NA,NA,NA,NA,above ground,herbivore
Rodentia,Sciuridae,Paraxerus,ochraceus,Paraxerus ochraceus,NA,104.3,NA,NA,1,2.2,NA,NA,2,NA,NA,above ground,NA
Rodentia,Muridae,Rattus,losea,Rattus losea,NA,104.63,NA,NA,3,NA,NA,NA,2,NA,NA,NA,NA
Rodentia,Geomyidae,Thomomys,talpoides,Thomomys talpoides,NA,104.64,19,NA,1,4.86,1,45,2,3.15,2196.71,ground dwelling,herbivore
Chiroptera,Pteropodidae,Rousettus,lanosus,Rousettus lanosus,NA,104.78,NA,NA,NA,NA,NA,NA,3,NA,NA,above ground,NA
Rodentia,Muridae,Chiruromys,forbesi,Chiruromys forbesi,NA,105.15,NA,NA,3,2.68,NA,NA,3,NA,NA,above ground,NA
Lagomorpha,Ochotonidae,Ochotona,huangensis,Ochotona huangensis,NA,105.33,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
Rodentia,Heteromyidae,Dipodomys,elator,Dipodomys elator,nocturnal,105.82,NA,0.00073307,1,2.91,NA,NA,1,NA,1284.37,NA,omnivore
